id,title,kind,authority,status,url,topics,applications,full_text
lei_9430_1996,Lei nº 9.430/1996 — compensação tributária federal (PER/DCOMP e regras correlatas),lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/l9430.htm,compensação tributária|créditos tributários,tributacao|compensacao_tributaria,collect
lei_11076_2004,Lei nº 11.076/2004 — títulos do agronegócio e Certificado de Recebíveis do Agronegócio (CRA),lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/lei/l11076.htm,CRA|securitização|direitos creditórios do agronegócio,cra_securitizacao|financiamento,collect
lei_14130_2021,Lei nº 14.130/2021 — FIAGRO,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14130.htm,FIAGRO|fundos|agronegócio,fiagro|fundos,collect
lei_6385_1976,Lei nº 6.385/1976 — Mercado de Valores Mobiliários e CVM,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/l6385.htm,CVM|valor mobiliário|mercado de capitais,mercado_financeiro|carbono|fundos,collect
lei_12810_2013,"Lei nº 12.810/2013 — registro, depósito centralizado e negociação de ativos financeiros",lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12810.htm,registro|depósito centralizado|ativo financeiro,registro|custodia|garantia,collect
lei_6015_1973,Lei nº 6.015/1973 — Registros Públicos,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/l6015compilada.htm,registro de imóveis|averbação|carbono,carbono|garantia|publicidade,collect
lei_11101_2005,Lei nº 11.101/2005 — recuperação judicial e falência,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/lei/l11101.htm,recuperação judicial|falência|crédito,execucao|insolvencia|garantia,collect
lei_4829_1965,Lei nº 4.829/1965 — crédito rural,lei_federal,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/leis/l4829.htm,crédito rural,credito_rural|CPR,collect
dl_167_1967,Decreto-Lei nº 167/1967 — títulos de crédito rural,decreto_lei,Presidência da República,vigente_consolidar,https://www.planalto.gov.br/ccivil_03/decreto-lei/del0167.htm,títulos de crédito rural|garantias|execução,credito_rural|garantia|execucao,collect
cvm_res_175,Resolução CVM nº 175 — Fundos de Investimento,resolucao_cvm,CVM,vigente_consolidar,https://conteudo.cvm.gov.br/legislacao/resolucoes/resol175.html,fundos|FIAGRO|governança|integralização de cotas,fiagro|fundos|custodia,collect
cvm_res_175_anexo_vi,Resolução CVM nº 175 — Anexo Normativo VI (FIAGRO),resolucao_cvm,CVM,vigente_consolidar,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo06.pdf,FIAGRO|ativos|direitos creditórios|governança,fiagro|fundos|direitos_creditorios,collect
cvm_res_60,Resolução CVM nº 60 — securitização e certificados de recebíveis,resolucao_cvm,CVM,vigente_consolidar,https://conteudo.cvm.gov.br/legislacao/resolucoes/resol060.html,securitização|CRA|certificados de recebíveis,cra_securitizacao|mercado_capitais,collect
drei_manual_ltda,DREI — Manual de Registro de Sociedade Limitada,manual_administrativo,DREI,orientacao_administrativa,https://www.gov.br/empresas-e-negocios/pt-br/drei/legislacao/instrucoes-normativas/arquivos-instrucoes-normativas-em-vigor/anexo-iv-limitada_link.pdf,Ltda|integralização|registro empresarial,capital_social|reorganizacao,collect
drei_manual_sa,DREI — Manual de Registro de Sociedade Anônima,manual_administrativo,DREI,orientacao_administrativa,https://www.gov.br/empresas-e-negocios/pt-br/drei/legislacao/instrucoes-normativas/arquivos-instrucoes-normativas-em-vigor/anexo-v-sa_link.pdf,S.A.|integralização|laudo de avaliação,capital_social|reorganizacao,collect
b3_cpr,B3 — serviços de registro de Cédula de Produto Rural (CPR),infraestrutura_mercado,B3,infraestrutura_de_mercado,https://www.b3.com.br/pt_br/produtos-e-servicos/registro/renda-fixa-e-valores-mobiliarios/cedula-do-produto-rural-cpr.htm,CPR|registro|endosso|garantia|titularidade,registro|cessao|garantia|capital_social,collect
cpc_48,CPC 48 — Instrumentos Financeiros,pronunciamento_contabil,CPC/CFC,norma_contabil,https://www.cpc.org.br/CPC/Documentos-Emitidos/Pronunciamentos/Pronunciamento?Id=106,instrumento financeiro|classificação|mensuração,contabilizacao|auditoria|capital_social,link_only_copyright
cpc_46,CPC 46 — Mensuração do Valor Justo,pronunciamento_contabil,CPC/CFC,norma_contabil,https://www.cpc.org.br/CPC/Documentos-Emitidos/Pronunciamentos/Pronunciamento?Id=78,valor justo|hierarquia|nível 3,valuation|auditoria|capital_social,link_only_copyright
cpc_40,CPC 40 — Instrumentos Financeiros: Evidenciação,pronunciamento_contabil,CPC/CFC,norma_contabil,https://www.cpc.org.br/CPC/Documentos-Emitidos/Pronunciamentos/Pronunciamento?Id=71,evidenciação|risco|instrumentos financeiros,contabilizacao|auditoria,link_only_copyright
nbc_tsc_4400,NBC TSC 4400 — Trabalhos de Procedimentos Previamente Acordados,norma_contabil,CFC,norma_contabil,https://cfc.org.br/wp-content/uploads/2021/08/NBC-TSC_-4400.doc,AUP|procedimentos acordados|asseguração,auditoria|diligencia,link_only_copyright
decreto_13018_2026,Decreto nº 13.018/2026 — regulamenta a PNPSA (Lei 14.119/2021),decreto_federal,Presidência da República,vigente,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/decreto/d13018.htm,PSA;PNPSA;PFPSA,PSA federal;PSA municipal;governanca ambiental,
cmn_resolucao_5330_2026,Resolução CMN nº 5.330/2026 — renegociação de dívidas rurais (regulamenta MP 1.376/2026),resolucao_cmn,Conselho Monetário Nacional,vigente_sujeita_a_MP,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20CMN&numero=5330,credito rural;CPR financeira;renegociacao,liquidacao de CPR;cooperativas agropecuarias,
portaria_interministerial_mf_mma_69_2026,Portaria Interministerial MF/MMA nº 69/2026 — GT carbono em terras públicas federais,portaria_interministerial,Ministério da Fazenda / MMA,vigente,https://www.gov.br/fazenda/pt-br/assuntos/noticias/2026/maio/ministerio-da-fazenda-impulsiona-caminho-seguro-para-creditos-de-carbono-em-areas-federais,SBCE;terras publicas federais;titularidade de carbono,due diligence fundiaria;PSA em terras publicas,
consulta_publica_itmos_2026,Consulta pública sobre ITMOs (art. 6.2 Acordo de Paris / art. 51 Lei 15.042/2024),consulta_publica,MMA / CIM,proposta_nao_vigente,https://www.gov.br/mma/pt-br/noticias-defeso-eleitoral/consulta-publica-recebe-contribuicoes-para-proposta-de-resolucao-sobre-resultados-de-mitigacao-transferidos-internacionalmente,SBCE;ITMO;Acordo de Paris;CRVE,exportacao de resultados ambientais;dupla contagem,
sbce_cronograma_2026,Cronograma regulatório do SBCE — atualização julho/2026,cronograma_regulatorio,Ministério da Fazenda / SEMC,nao_vinculante_previsao_administrativa,https://www.gov.br/fazenda/pt-br/assuntos/noticias/2026/julho/aberta-consulta-publica-sobre-cobertura-setorial-do-mercado-regulado-de-carbono,SBCE;MRV;cobertura setorial;PBMRV;PBCE,planejamento de conformidade;plataforma SBCE-ready,
