id,titulo,tipo,status_juridico,autoridade,fonte_oficial,data_publicacao,data_verificacao,temas,aplicacoes,artigos_ou_topicos_chave,relacionados,observacoes
lei_6404_1976_sa,Lei nº 6.404/1976 — Lei das Sociedades por Ações,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/leis/l6404consol.htm,1976-12-15,2026-06-24,S.A. | integralização de capital | laudo de avaliação,capital_social | reorganizacao_societaria,arts. 7º a 10,drei_manual_sa | cpc_46,Aplicável a integralização em S.A.
lei_9249_1995,Lei nº 9.249/1995 — aspectos tributários; art. 23,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/leis/l9249.htm,1995-12-26,2026-06-24,tributação | integralização de capital | ganho de capital,planejamento_tributario | capital_social,art. 23,codigo_civil_2002 | ctn_1966,Analisar caso a caso com tributarista.
ctn_1966,Lei nº 5.172/1966 — Código Tributário Nacional,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/leis/l5172compilado.htm,1966-10-25,2026-06-24,tributação | compensação tributária | extinção do crédito tributário,planejamento_tributario,arts. 156 e 170,lei_10522_2002 | lei_9249_1995,"Base para analisar, e não presumir, compensações tributárias."
lei_10522_2002,Lei nº 10.522/2002 — cadastro de inadimplentes e créditos da União,lei_federal,vigente,Presidência da República,https://www.planalto.gov.br/ccivil_03/leis/2002/l10522.htm,2002-07-19,2026-06-24,divida ativa | compensação tributária | transação,planejamento_tributario,mecanismos aplicáveis à União,ctn_1966,Não usar como autorização genérica para CPR quitar tributo.
cvm_resolucao_175,Resolução CVM nº 175 — fundos de investimento,resolucao,vigente,CVM,https://conteudo.cvm.gov.br/legislacao/resolucoes/resol175.html,2022-12-23,2026-06-24,fundos | FIAGRO | integralização de cotas,fiagro | cra_securitizacao | auditoria,Anexo VI / FIAGRO,cvm_resolucao_175_anexo_vi,Benchmark regulatório; não substitui o rito societário de Ltda./S.A.
cvm_resolucao_175_anexo_vi,Resolução CVM 175 — Anexo Normativo VI (FIAGRO),resolucao_anexo,vigente,CVM,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo06.pdf,2022-12-23,2026-06-24,FIAGRO | direitos creditórios | créditos de carbono do agronegócio | avaliação | custódia,fiagro | cra_securitizacao | auditoria | garantia_colateral,ativos elegíveis; integralização; custódia; avaliação,cvm_resolucao_175 | b3_cpr | cpc_46,Usar como benchmark de diligência e governança.
drei_manual_ltda,DREI — Manual de Registro de Sociedade Limitada,manual_administrativo,orientacao_administrativa,DREI,https://www.gov.br/empresas-e-negocios/pt-br/drei/legislacao/instrucoes-normativas/arquivos-instrucoes-normativas-em-vigor/anexo-iv-limitada_link.pdf,2024,2026-06-24,Ltda | integralização | registro empresarial,capital_social | reorganizacao_societaria,bens suscetíveis de avaliação; responsabilidade pela estimação; descrição do bem,codigo_civil_2002 | stj_resp_1743088,Manual administrativo; conferir versão vigente.
drei_manual_sa,DREI — Manual de Registro de Sociedade Anônima,manual_administrativo,orientacao_administrativa,DREI,https://www.gov.br/empresas-e-negocios/pt-br/drei/legislacao/instrucoes-normativas/arquivos-instrucoes-normativas-em-vigor/anexo-v-sa_link.pdf,2024,2026-06-24,S.A. | integralização | laudo de avaliação,capital_social | reorganizacao_societaria,peritos/empresa especializada; assembleia; avaliação,lei_6404_1976_sa,Manual administrativo; conferir versão vigente.
b3_cpr,"B3 — Cédula de Produto Rural (CPR): registro, endosso, garantia e publicidade",infraestrutura_de_mercado,infraestrutura_de_mercado,B3,https://www.b3.com.br/pt_br/produtos-e-servicos/registro/renda-fixa-e-valores-mobiliarios/cedula-do-produto-rural-cpr.htm,,2026-06-24,CPR | registro | endosso | garantia | titularidade,capital_social | garantia_colateral | cessao_de_credito | execucao,"serviços de registro, endosso e garantia",lei_8929_1994_cpr | lei_13986_2020 | cmn_resolucao_4927_2021,"Fonte de operação de mercado, não substitui a lei."
cmn_resolucao_4927_2021,Resolução CMN nº 4.927/2021 — registro de CPR,resolucao,vigente,CMN / Banco Central,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20CMN&numero=4927,2021,2026-06-24,CPR | registro | CMN,capital_social | garantia_colateral | cessao_de_credito,regras de registro e dispensas/cronograma,lei_13986_2020 | b3_cpr,Confirmar versão e consolidação no BCB.
bcb_resolucao_52,Resolução BCB nº 52 — publicidade de informações de CPR,resolucao,vigente,Banco Central do Brasil,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=52,2020,2026-06-24,CPR | publicidade | registro,auditoria | garantia_colateral | capital_social,publicidade e transparência de informações,b3_cpr,"Validar número, versão e aplicabilidade na captura oficial."
cpc_48,CPC 48 — Instrumentos Financeiros,pronunciamento_contabil,norma_contabil,CPC / CFC,https://www.cpc.org.br/CPC/Documentos-Emitidos/Pronunciamentos/Pronunciamento?Id=106,2016,2026-06-24,contabilidade | instrumentos financeiros,contabilizacao | auditoria | capital_social,"classificação, mensuração e perdas esperadas",cpc_46 | cpc_40,A aplicabilidade à CPR Verde depende da substância contratual.
cpc_46,CPC 46 — Mensuração do Valor Justo,pronunciamento_contabil,norma_contabil,CPC / CFC,https://www.cpc.org.br/CPC/Documentos-Emitidos/Pronunciamentos/Pronunciamento?Id=78,2012,2026-06-24,contabilidade | valor justo | nível 3,contabilizacao | auditoria | capital_social,hierarquia de valor justo; inputs observáveis e não observáveis,cpc_48 | cpc_40,Mensuração global tende a Nível 3 se houver inputs ambientais significativos não observáveis.
cpc_40,CPC 40 — Instrumentos Financeiros: Evidenciação,pronunciamento_contabil,norma_contabil,CPC / CFC,https://www.cpc.org.br/CPC/Documentos-Emitidos/Pronunciamentos/Pronunciamento?Id=71,,2026-06-24,contabilidade | evidenciação | risco,contabilizacao | auditoria,divulgações de risco e instrumentos financeiros,cpc_48 | cpc_46,Confirmar ID/versão na captura oficial.
nbc_tsc_4400,NBC TSC 4400 — Trabalhos de Procedimentos Previamente Acordados,norma_tecnica,norma_contabil,CFC,https://cfc.org.br/wp-content/uploads/2021/08/NBC-TSC_-4400.doc,2021,2026-06-24,AUP | auditoria | procedimentos acordados,auditoria | capital_social,natureza do trabalho e ausência de asseguração,cpc_46,AUP reporta achados; não valida por si só ativo ou valuation.
stj_resp_1743088,STJ — REsp 1.743.088,jurisprudencia,pendente_validacao,STJ,https://processo.stj.jus.br/processo/pesquisa/,,2026-06-24,integralização | transferência patrimonial | registro,capital_social,referência citada pelo Manual DREI Ltda.,drei_manual_ltda,Obter e validar acórdão oficial completo antes de usar.
decreto_13018_2026_psa,Decreto nº 13.018/2026 — regulamenta a Política Nacional de Pagamento por Serviços Ambientais (PNPSA),decreto_federal,vigente,Presidência da República / MMA,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/decreto/d13018.htm,2026-06-12,2026-07-30,PSA;PNPSA;PFPSA;CEPSA;Rede-PSA;Lei 14.119/2021,PSA municipal;PSA federal;governanca;incentivos tributarios pendentes,Art.2 orgao gestor MMA; Art.16 CNPSA pendente de ato MMA; Art.17 incentivos tributarios pendente de ato conjunto MMA-Fazenda,lei_14119_2021_psa,CNPSA e incentivos tributarios (arts. 16 e 17 da Lei 14.119) ainda sem regulamentacao complementar em 30/07/2026
cmn_resolucao_5330_2026,Resolução CMN nº 5.330/2026 — regulamenta renegociação de dívidas rurais da MP 1.376/2026,resolucao_cmn,vigente_sujeita_a_MP,Conselho Monetário Nacional / BACEN,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20CMN&numero=5330,2026-07-23,2026-07-30,credito rural;renegociacao de dividas;CPR financeira,liquidacao/amortizacao de CPR;cooperativas agropecuarias;Funcafe;Fundos Constitucionais,prazo ate 10 anos; limite cooperativas R$50mi; prorrogacao 30 dias parcelas adimplentes ate 14/08/2026,br_mp_1376_2026;lei_8929_1994_cpr,Ato regulamentador do art.7 da MP 1.376/2026; nao cria linha de aquisicao de CPR Verde
portaria_interministerial_mf_mma_69_2026,Portaria Interministerial MF/MMA nº 69/2026 — GT créditos de carbono em terras públicas federais,portaria_interministerial,vigente,Ministério da Fazenda / MMA,https://www.gov.br/fazenda/pt-br/assuntos/noticias/2026/maio/ministerio-da-fazenda-impulsiona-caminho-seguro-para-creditos-de-carbono-em-areas-federais,2026-05-13,2026-07-30,SBCE;terras publicas federais;titularidade de carbono;CRVE,PSA em terras publicas;due diligence fundiaria;repartição de receitas,"GT 60 dias prorrogaveis;3 fases (diagnostico, diretrizes, recomendacoes)",lei_15042_2024_sbce,Nao autoriza emissao de credito ou CPR Verde em area publica; cria apenas processo institucional
consulta_publica_itmos_2026,"Consulta pública — ITMOs (art. 6.2 Acordo de Paris), regulamentação do art. 51 da Lei 15.042/2024",consulta_publica,proposta_nao_vigente,MMA / CIM,https://www.gov.br/mma/pt-br/noticias-defeso-eleitoral/consulta-publica-recebe-contribuicoes-para-proposta-de-resolucao-sobre-resultados-de-mitigacao-transferidos-internacionalmente,2026-07-07,2026-07-30,SBCE;ITMO;Acordo de Paris art.6;CRVE;NDC,exportacao de resultados ambientais;dupla contagem;EU readiness,limite 50Mt tCO2e 2031-2035; ATFs; chamada publica de projetos; ajuste correspondente NDC,lei_15042_2024_sbce,Prazo de contribuicoes ate 06/08/2026; CPR Verde isolada nao e exportavel como ITMO
sbce_cronograma_2026,Cronograma regulatório do SBCE — atualização julho/2026 (SEMC/Ministério da Fazenda),cronograma_regulatorio,nao_vinculante_previsao_administrativa,Ministério da Fazenda / SEMC,https://www.gov.br/fazenda/pt-br/assuntos/noticias/2026/julho/aberta-consulta-publica-sobre-cobertura-setorial-do-mercado-regulado-de-carbono,2026-07-19,2026-07-30,SBCE;cobertura setorial;MRV;PBMRV;PBCE;CAREG,planejamento de conformidade MRV;plataforma E-CPR MRV SBCE-ready,consulta cobertura setorial ate 28/08/2026; meta dez/2026 PBMRV e PBCE,lei_15042_2024_sbce;consulta_publica_itmos_2026;portaria_interministerial_mf_mma_69_2026,Nunca classificar como direito_vigente; reavaliar a cada publicacao no DOU
